continent,iso_code,location,year,month,weekday,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Asia,IDN,Indonesia,2020,3,0,2020-03-02,,,,,,,
Asia,IDN,Indonesia,2020,3,1,2020-03-03,,,,,,,
Asia,IDN,Indonesia,2020,3,2,2020-03-04,,,,,,,
Asia,IDN,Indonesia,2020,3,3,2020-03-05,,,,,,,
Asia,IDN,Indonesia,2020,3,4,2020-03-06,,,,,,,
Asia,IDN,Indonesia,2020,3,5,2020-03-07,,,,,,,
Asia,IDN,Indonesia,2020,3,6,2020-03-08,,,,,,,
Asia,IDN,Indonesia,2020,3,0,2020-03-09,,,,,,,
Asia,IDN,Indonesia,2020,3,1,2020-03-10,,,,,,,
Asia,IDN,Indonesia,2020,3,2,2020-03-11,,,,,,,
Asia,IDN,Indonesia,2020,3,3,2020-03-12,,,,,,,
Asia,IDN,Indonesia,2020,3,4,2020-03-13,,,,,,,
Asia,IDN,Indonesia,2020,3,5,2020-03-14,,,,,,,
Asia,IDN,Indonesia,2020,3,6,2020-03-15,,,,,,,
Asia,IDN,Indonesia,2020,3,0,2020-03-16,,,,,,,
Asia,IDN,Indonesia,2020,3,1,2020-03-17,,,,,,,
Asia,IDN,Indonesia,2020,3,2,2020-03-18,,,,,,,
Asia,IDN,Indonesia,2020,3,3,2020-03-19,,,,,,,
Asia,IDN,Indonesia,2020,3,4,2020-03-20,,,,,,,
Asia,IDN,Indonesia,2020,3,5,2020-03-21,,,,,,,
Asia,IDN,Indonesia,2020,3,6,2020-03-22,,,,,,,
Asia,IDN,Indonesia,2020,3,0,2020-03-23,,,,,,,
Asia,IDN,Indonesia,2020,3,1,2020-03-24,,,,,,,
Asia,IDN,Indonesia,2020,3,2,2020-03-25,,,,,,,
Asia,IDN,Indonesia,2020,3,3,2020-03-26,,,,,,,
Asia,IDN,Indonesia,2020,3,4,2020-03-27,,,,,,,
Asia,IDN,Indonesia,2020,3,5,2020-03-28,,,,,,,
Asia,IDN,Indonesia,2020,3,6,2020-03-29,,,,,,,
Asia,IDN,Indonesia,2020,3,0,2020-03-30,,,,,,,
Asia,IDN,Indonesia,2020,3,1,2020-03-31,,,,,,,
Asia,IDN,Indonesia,2020,4,2,2020-04-01,,,,,,,
Asia,IDN,Indonesia,2020,4,3,2020-04-02,,,,,,,
Asia,IDN,Indonesia,2020,4,4,2020-04-03,,,,,,,
Asia,IDN,Indonesia,2020,4,5,2020-04-04,,,,,,,
Asia,IDN,Indonesia,2020,4,6,2020-04-05,,,,,,,
Asia,IDN,Indonesia,2020,4,0,2020-04-06,,,,,,,
Asia,IDN,Indonesia,2020,4,1,2020-04-07,,,,,,,
Asia,IDN,Indonesia,2020,4,2,2020-04-08,,,,,,,
Asia,IDN,Indonesia,2020,4,3,2020-04-09,,,,,,,
Asia,IDN,Indonesia,2020,4,4,2020-04-10,,,,,,,
