continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Asia,KWT,Kuwait,2020,2,0,2020-02-24,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,2,1,2020-02-25,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,2,2,2020-02-26,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,2,3,2020-02-27,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,2,4,2020-02-28,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,2,5,2020-02-29,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,6,2020-03-01,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,0,2020-03-02,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,1,2020-03-03,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,2,2020-03-04,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,3,2020-03-05,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,4,2020-03-06,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,5,2020-03-07,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,6,2020-03-08,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,0,2020-03-09,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,1,2020-03-10,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,2,2020-03-11,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,3,2020-03-12,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,4,2020-03-13,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,5,2020-03-14,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,6,2020-03-15,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,0,2020-03-16,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,1,2020-03-17,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,2,2020-03-18,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,3,2020-03-19,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,4,2020-03-20,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,5,2020-03-21,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,6,2020-03-22,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,0,2020-03-23,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,1,2020-03-24,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,2,2020-03-25,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,3,2020-03-26,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,4,2020-03-27,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,5,2020-03-28,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,6,2020-03-29,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,0,2020-03-30,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,3,1,2020-03-31,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,4,2,2020-04-01,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,4,3,2020-04-02,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,4,4,2020-04-03,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,4,5,2020-04-04,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,4,6,2020-04-05,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,4,0,2020-04-06,65530.537,,75.49,0.806
Asia,KWT,Kuwait,2020,4,1,2020-04-07,65530.537,,75.49,0.806
