LOCATION,TIME,Value
CZE,2019-Q3,0.466019801
CZE,2019-Q4,0.383759893
CZE,2020-Q1,-3.291986784
CZE,2020-Q2,-8.50949507
CZE,2020-Q3,6.9385772
CZE,2020-Q4,0.300020246
POL,2019-Q1,1.699926885
POL,2019-Q2,0.738602466
POL,2019-Q3,1.151562197
POL,2019-Q4,0.248456273
POL,2020-Q1,-0.26103648
POL,2020-Q2,-9.000662267
POL,2020-Q3,7.878236969
POL,2020-Q4,-0.69999211
DEU,2019-Q1,0.612222858
DEU,2019-Q2,-0.503593062
DEU,2019-Q3,0.309311452
DEU,2019-Q4,-0.018690252
DEU,2020-Q1,-1.995362523
DEU,2020-Q2,-9.707251417
DEU,2020-Q3,8.511985604
DEU,2020-Q4,0.097322783
IDN,2019-Q1,1.205681107
IDN,2019-Q2,1.262245453
IDN,2019-Q3,1.180883054
IDN,2019-Q4,1.205930108
IDN,2020-Q1,-0.718065392
IDN,2020-Q2,-6.949907898
IDN,2020-Q3,3.036715479
IDN,2020-Q4,2.870018028
LUX,2019-Q1,0.008380829
LUX,2019-Q2,1.862300806
LUX,2019-Q3,0.839345562
LUX,2019-Q4,0.238067673
LUX,2020-Q1,-1.45679319
LUX,2020-Q2,-7.410043211
LUX,2020-Q3,9.843745489
ZAF,2019-Q1,-0.803968545
ZAF,2019-Q2,0.816710677
ZAF,2019-Q3,-0.209579097
ZAF,2019-Q4,-0.362879287
ZAF,2020-Q1,-0.422548271
ZAF,2020-Q2,-16.641962996
ZAF,2020-Q3,13.530993656
RUS,2019-Q1,-0.468618348
RUS,2019-Q2,2.37118293
RUS,2019-Q3,-0.878903266
RUS,2019-Q4,-0.705263376
RUS,2020-Q1,-0.879546459
RUS,2020-Q2,-3.237636448
RUS,2020-Q3,1.502101943
PRT,2019-Q1,0.666772653
PRT,2019-Q2,0.542915963
PRT,2019-Q3,0.396466374
PRT,2019-Q4,0.662808505
PRT,2020-Q1,-3.956044532
PRT,2020-Q2,-13.915296648
PRT,2020-Q3,13.252193083
PRT,2020-Q4,0.4
ITA,2019-Q1,0.19155428
ITA,2019-Q2,0.198214125
ITA,2019-Q3,0.042003621
ITA,2019-Q4,-0.361449601
ITA,2020-Q1,-5.529588976
ITA,2020-Q2,-13.043511385
ITA,2020-Q3,15.966377292
ITA,2020-Q4,-1.975646223
AUT,2019-Q1,0.800275051
AUT,2019-Q2,-0.317891968
AUT,2019-Q3,0.309108452
AUT,2019-Q4,-0.536193235
AUT,2020-Q1,-2.766996758
AUT,2020-Q2,-11.567636938
AUT,2020-Q3,11.964896166
AUT,2020-Q4,-4.270125792
IRL,2019-Q1,-0.484611871
IRL,2019-Q2,4.94494433
IRL,2019-Q3,-0.884237889
IRL,2019-Q4,4.265485715
IRL,2020-Q1,-3.527067979
IRL,2020-Q2,-3.200561874
IRL,2020-Q3,11.053229439
CHE,2019-Q1,0.169915172
CHE,2019-Q2,0.370392471
CHE,2019-Q3,0.541743876
CHE,2019-Q4,0.389792285
