location,year,month,gdp_percentage_change,monthly_new_cases,percentage_growth_rate_cases
Brazil,2020,12,,1340095.0,67.45473107302134
Bulgaria,2020,3,0.4450506080000001,399.0,5600.0
Bulgaria,2020,4,-10.069032243,1107.0,177.4436090225564
Bulgaria,2020,5,-10.069032242999999,1007.0,-9.033423667570009
Bulgaria,2020,6,-10.069032243,2476.0,145.87884806355513
Bulgaria,2020,7,4.281045762000001,6701.0,170.63812600969305
Bulgaria,2020,8,4.281045762000001,4576.0,-31.711684823160724
Bulgaria,2020,9,4.2810457620000015,4567.0,-0.19667832167832167
Bulgaria,2020,10,,32011.0,600.9196409021239
Bulgaria,2020,11,,92456.0,188.82571616007
Bulgaria,2020,12,,56966.0,-38.38582677165354
Canada,2020,1,-1.8724164700000003,4.0,-99.78165938864629
Canada,2020,2,-1.8724164699999994,16.0,300.0
Canada,2020,3,-1.8724164699999992,8507.0,53068.75
Canada,2020,4,-11.314573725,45930.0,439.90831080286824
Canada,2020,5,-11.314573725,38022.0,-17.217504898758982
Canada,2020,6,-11.314573725,13618.0,-64.18389353532166
Canada,2020,7,8.874858409000005,12184.0,-10.530180643266265
Canada,2020,8,8.874858409000005,12637.0,3.7179908076165464
Canada,2020,9,8.874858409000005,30189.0,138.8937247764501
Canada,2020,10,,76206.0,152.42969293451256
Canada,2020,11,,144244.0,89.28168385691416
Canada,2020,12,,202852.0,40.63115276891933
Chile,2020,2,2.9684633180000004,2.0,-99.52941176470588
Chile,2020,3,2.968463318000001,2842.0,142000.0
Chile,2020,4,-13.46809599900001,14858.0,422.8008444757213
Chile,2020,5,-13.46809599900001,105848.0,612.3973616906717
Chile,2020,6,-13.46809599900001,155843.0,47.232824427480914
Chile,2020,7,5.222944288999998,76274.0,-51.05715367388975
Chile,2020,8,5.222944288999998,56059.0,-26.503133439966437
Chile,2020,9,5.222944288999998,51265.0,-8.551704454235717
Chile,2020,10,,47265.0,-7.802594362625573
Chile,2020,11,,41487.0,-12.22469057442082
Chile,2020,12,,57230.0,37.94682671680285
China,2020,1,-9.700000000000001,9254.0,-83.83015900751354
China,2020,2,-9.699999999999994,69554.0,651.6101145450616
China,2020,3,-9.699999999999994,2923.0,-95.79750984846306
China,2020,4,11.600000000000001,1677.0,-42.627437564146426
China,2020,5,11.600000000000003,190.0,-88.67024448419797
China,2020,6,11.600000000000001,639.0,236.31578947368422
China,2020,7,3.0,2870.0,349.1392801251956
China,2020,8,3.0,2259.0,-21.28919860627178
China,2020,9,3.0,631.0,-72.0672864099159
China,2020,10,,821.0,30.11093502377179
China,2020,11,,1536.0,87.08891595615104
China,2020,12,,3061.0,99.28385416666667
Colombia,2020,3,-1.3803230279999996,906.0,-70.40182946749428
Colombia,2020,4,-16.10495377199999,5601.0,518.2119205298013
Colombia,2020,5,-16.10495377199999,22876.0,308.42706659525084
Colombia,2020,6,-16.10495377199999,68463.0,199.27872005595384
Colombia,2020,7,8.707209073,197662.0,188.71361173188438
Colombia,2020,8,8.707209073,319586.0,61.6830751484858
Colombia,2020,9,8.707209073,214585.0,-32.85531906904558
Colombia,2020,10,,244505.0,13.943192674231657
Colombia,2020,11,,242622.0,-0.7701274002576635
Colombia,2020,12,,325969.0,34.35261435484004
Czechia,2020,2,-3.291986784,0.0,-100.0
Czechia,2020,3,-3.2919867840000014,3308.0,inf
Czechia,2020,4,-8.509495070000007,4374.0,32.22490931076179
Czechia,2020,5,-8.509495070000007,1586.0,-63.740283493369915
Czechia,2020,6,-8.509495070000007,2686.0,69.35687263556116
Czechia,2020,7,6.938577199999998,4620.0,72.0029784065525
Czechia,2020,8,6.938577199999998,8044.0,74.11255411255411
Czechia,2020,9,6.938577199999998,46145.0,473.65738438587766
Czechia,2020,10,,264339.0,472.84429515657166
Czechia,2020,11,,188196.0,-28.805057142532885
Czechia,2020,12,,195363.0,3.808263725052605
Denmark,2020,2,-1.5146924670000008,3.0,-99.93860008186655
Denmark,2020,3,-1.514692467000001,3036.0,101100.0
Denmark,2020,4,-7.071245747999997,6317.0,108.06982872200264
Denmark,2020,5,-7.071245747999997,2513.0,-60.218458128858636
Denmark,2020,6,-7.071245747999997,1099.0,-56.26740947075209
Denmark,2020,7,5.222782905000002,1060.0,-3.548680618744313
Denmark,2020,8,5.222782905000002,3382.0,219.0566037735849
Denmark,2020,9,5.222782905000002,11069.0,227.29154346540508
Denmark,2020,10,,18384.0,66.08546390821212
Denmark,2020,11,,34139.0,85.69952132288947
Denmark,2020,12,,83114.0,143.4576291045432
Estonia,2020,2,-0.8204716579999999,1.0,-99.86541049798116
Estonia,2020,3,-0.8204716579999998,744.0,74300.0
Estonia,2020,4,-5.493447446000002,944.0,26.881720430107528
Estonia,2020,5,-5.493447446000002,180.0,-80.9322033898305
Estonia,2020,6,-5.493447446000002,120.0,-33.333333333333336
Estonia,2020,7,3.2559957050000023,75.0,-37.5
Estonia,2020,8,3.2559957050000023,311.0,314.6666666666667
Estonia,2020,9,3.2559957050000023,996.0,220.2572347266881
Estonia,2020,10,,1534.0,54.01606425702811
Estonia,2020,11,,7403.0,382.59452411994783
Estonia,2020,12,,15682.0,111.83304065919222
Finland,2020,1,-1.524229591,1.0,-85.71428571428571
Finland,2020,2,-1.5242295910000008,2.0,100.0
Finland,2020,3,-1.5242295910000008,1415.0,70650.0
Finland,2020,4,-3.8764913389999984,3577.0,152.79151943462898
Finland,2020,5,-3.8764913389999984,1864.0,-47.88929270338272
Finland,2020,6,-3.8764913389999984,355.0,-80.95493562231759
Finland,2020,7,3.1545090919999987,218.0,-38.59154929577465
Finland,2020,8,3.1545090919999987,654.0,200.0
Finland,2020,9,3.1545090919999987,1906.0,191.43730886850153
Finland,2020,10,,6121.0,221.14375655823716
Finland,2020,11,,8799.0,43.75102107498775
Finland,2020,12,,11195.0,27.230367087168997
France,2020,1,-5.905832336,5.0,-99.95533720410897
France,2020,2,-5.905832336000002,95.0,1800.0
France,2020,3,-5.905832336000002,52178.0,54824.21052631579
France,2020,4,-13.651488184000003,116583.0,123.4332477289279
France,2020,5,-13.651488184000003,22114.0,-81.03153976137173
France,2020,6,-13.651488184000003,13269.0,-39.99728678665099
France,2020,7,18.509715196,22995.0,73.29866606375764
France,2020,8,18.509715196,93921.0,308.4409654272668
France,2020,9,18.509715196,284733.0,203.16223208867027
France,2020,10,,808471.0,183.94004207450487
France,2020,11,,862510.0,6.684098749367633
France,2020,12,,400792.0,-53.531901079407774
Germany,2020,1,-1.995362523,5.0,-99.99455551199965
Germany,2020,2,-1.9953625229999992,74.0,1380.0
Germany,2020,3,-1.995362522999999,71729.0,96831.08108108108
Germany,2020,4,-9.707251417000004,91201.0,27.146621310766914
Germany,2020,5,-9.707251417000004,20401.0,-77.63072773324853
Germany,2020,6,-9.707251417000004,12008.0,-41.14014018920641
Germany,2020,7,8.511985603999996,14981.0,24.758494337108594
Germany,2020,8,8.511985603999996,34403.0,129.64421600694212
Germany,2020,9,8.511985603999996,48111.0,39.84536232305322
Germany,2020,10,,238877.0,396.51223212986633
Germany,2020,11,,538122.0,125.27158328344713
Germany,2020,12,,690608.0,28.336696882862995
Greece,2020,2,0.129790373,4.0,-99.87113402061856
Greece,2020,3,0.12979037300000001,1310.0,32650.0
Greece,2020,4,-14.147762039999993,1277.0,-2.519083969465649
Greece,2020,5,-14.147762039999991,326.0,-74.47141738449491
Greece,2020,6,-14.147762039999993,492.0,50.920245398773005
Greece,2020,7,2.2900378719999996,1068.0,117.07317073170732
Greece,2020,8,2.2900378719999996,5840.0,446.8164794007491
Greece,2020,9,2.2900378719999996,8158.0,39.69178082191781
Greece,2020,10,,20776.0,154.67026231919587
Greece,2020,11,,66020.0,217.77050442818637
Greece,2020,12,,33579.0,-49.138139957588606
Hungary,2020,3,-0.35182084299999994,492.0,inf
Hungary,2020,4,-14.582566499999997,2283.0,364.0243902439024
Hungary,2020,5,-14.582566499999997,1101.0,-51.77398160315374
Hungary,2020,6,-14.582566499999997,279.0,-74.65940054495913
Hungary,2020,7,11.384724129999997,350.0,25.448028673835125
Hungary,2020,8,11.384724129999997,1634.0,366.85714285714283
Hungary,2020,9,11.384724129999997,20322.0,1143.6964504283965
Hungary,2020,10,,48860.0,140.42909162484008
Hungary,2020,11,,141801.0,190.2189930413426
Hungary,2020,12,,105392.0,-25.676123581639057
Iceland,2020,2,-7.600387833,1.0,-99.99905116137847
Iceland,2020,3,-7.600387833000006,1134.0,113300.0
Iceland,2020,4,-7.314675727000002,662.0,-41.62257495590829
Iceland,2020,5,-7.314675727000002,9.0,-98.6404833836858
Iceland,2020,6,-7.314675727000002,18.0,100.0
Iceland,2020,7,2.58498745,61.0,238.88888888888889
Iceland,2020,8,2.58498745,222.0,263.9344262295082
Iceland,2020,9,2.58498745,621.0,179.72972972972974
Iceland,2020,10,,2137.0,244.12238325281803
Iceland,2020,11,,527.0,-75.3392606457651
Iceland,2020,12,,362.0,-31.309297912713472
India,2020,1,0.65894,1.0,-99.72375690607734
India,2020,2,0.65894,2.0,100.0
India,2020,3,0.6589400000000001,1394.0,69600.0
India,2020,4,-25.24810000000001,33466.0,2300.7173601147774
India,2020,5,-25.24810000000001,155746.0,365.3857646566665
India,2020,6,-25.24810000000001,394872.0,153.53588535179074
India,2020,7,21.940150000000006,1110507.0,181.23214611317084
India,2020,8,21.940150000000006,1995178.0,79.6637031554056
India,2020,9,21.940150000000006,2621418.0,31.387675686079138
India,2020,10,,1871498.0,-28.607417817379755
India,2020,11,,1278727.0,-31.673611192745064
India,2020,12,,803865.0,-37.13552619128242
Indonesia,2020,3,-0.7180653919999999,1528.0,-99.80991833205825
Indonesia,2020,4,-6.949907897999998,8590.0,462.17277486910996
Indonesia,2020,5,-6.949907897999998,16355.0,90.39580908032596
Indonesia,2020,6,-6.949907897999998,29912.0,82.89208193213085
Indonesia,2020,7,3.036715478999999,51991.0,73.81318534367477
Indonesia,2020,8,3.036715478999999,66420.0,27.752880306206844
Indonesia,2020,9,3.0367154789999993,112212.0,68.9430894308943
Indonesia,2020,10,,123080.0,9.685238655402275
Indonesia,2020,11,,128795.0,4.643321416964576
Indonesia,2020,12,,204315.0,58.63581660778757
Ireland,2020,2,-3.527067979,1.0,-99.99766038089
Ireland,2020,3,-3.5270679789999986,3234.0,323300.0
Ireland,2020,4,-3.2005618740000013,17377.0,437.3222016079159
Ireland,2020,5,-3.2005618740000013,4378.0,-74.80577775220118
Ireland,2020,6,-3.2005618740000013,483.0,-88.96756509821836
Ireland,2020,7,11.053229439000004,592.0,22.56728778467909
Ireland,2020,8,11.053229439000004,2746.0,363.85135135135135
Ireland,2020,9,11.053229439000004,7344.0,167.4435542607429
Ireland,2020,10,,25301.0,244.51252723311546
Ireland,2020,11,,11088.0,-56.175645231413775
Ireland,2020,12,,19235.0,73.47582972582973
Israel,2020,2,-1.7330757609999998,6.0,-99.96880686249025
Israel,2020,3,-1.7330757610000005,5711.0,95083.33333333333
Israel,2020,4,-8.489337971,10179.0,78.23498511644195
Israel,2020,5,-8.489337971,1183.0,-88.37803320561942
Israel,2020,6,-8.489337971,8359.0,606.5934065934066
Israel,2020,7,8.720276595999998,46296.0,453.84615384615387
Israel,2020,8,8.720276595999998,45172.0,-2.4278555382754448
Israel,2020,9,8.720276595999996,130505.0,188.906844948198
Israel,2020,10,,66938.0,-48.7084786023524
Israel,2020,11,,22842.0,-65.87588514744988
Israel,2020,12,,86071.0,276.81026179844145
Italy,2020,1,-5.529588976,2.0,-99.9976763369776
Italy,2020,2,-5.529588976000003,1126.0,56200.0
Italy,2020,3,-5.529588976000004,104664.0,9195.204262877442
Italy,2020,4,-13.043511384999992,99671.0,-4.770503707100818
Italy,2020,5,-13.043511384999992,27534.0,-72.3751141254728
Italy,2020,6,-13.043511384999992,7581.0,-72.46676835911964
Italy,2020,7,15.966377292000002,6959.0,-8.204722332146154
Italy,2020,8,15.966377292000002,21677.0,211.49590458399194
Italy,2020,9,15.966377292000002,45647.0,110.5780320155003
Italy,2020,10,,364569.0,698.6702302451421
Italy,2020,11,,922124.0,152.9353839739528
Italy,2020,12,,505612.0,-45.16876255254174
Japan,2020,1,-0.5647244650000001,13.0,-99.37015503875969
Japan,2020,2,-0.5647244649999998,230.0,1669.2307692307693
Japan,2020,3,-0.564724465,2010.0,773.9130434782609
Japan,2020,4,-8.301064833,12029.0,498.4577114427861
Japan,2020,5,-8.301064833,2467.0,-79.49122952863912
Japan,2020,6,-8.301064833,1864.0,-24.442642886096472
Japan,2020,7,5.256478818999997,17619.0,845.225321888412
Japan,2020,8,5.256478818999997,32162.0,82.54157443668767
Japan,2020,9,5.256478818999997,15195.0,-52.754803805733474
Japan,2020,10,,17736.0,16.722606120434353
Japan,2020,11,,47635.0,168.57803337843933
Japan,2020,12,,86849.0,82.32182218956649
Latvia,2020,2,-2.267312198,0.0,-100.0
Latvia,2020,3,-2.2673121979999995,398.0,inf
Latvia,2020,4,-7.0764910249999975,460.0,15.577889447236181
Latvia,2020,5,-7.0764910249999975,208.0,-54.78260869565217
Latvia,2020,6,-7.0764910249999975,52.0,-75.0
Latvia,2020,7,7.130099448000004,113.0,117.3076923076923
Latvia,2020,8,7.130099448000004,165.0,46.017699115044245
Latvia,2020,9,7.130099448000004,428.0,159.3939393939394
Latvia,2020,10,,4070.0,850.9345794392524
Latvia,2020,11,,11181.0,174.71744471744472
Latvia,2020,12,,23829.0,113.12047222967534
Lithuania,2020,2,-0.026924279,1.0,-99.88452655889145
Lithuania,2020,3,-0.02692427900000002,467.0,46600.0
Lithuania,2020,4,-5.911851509999999,907.0,94.21841541755889
Lithuania,2020,5,-5.911851509999998,292.0,-67.80595369349504
Lithuania,2020,6,-5.911851509999999,145.0,-50.342465753424655
Lithuania,2020,7,3.7845473179999978,257.0,77.24137931034483
Lithuania,2020,8,3.7845473179999978,831.0,223.34630350194553
Lithuania,2020,9,3.784547317999998,1788.0,115.16245487364621
Lithuania,2020,10,,10127.0,466.3870246085011
Lithuania,2020,11,,46496.0,359.1290609262368
Lithuania,2020,12,,80644.0,73.44287680660702
Luxembourg,2020,2,-1.45679319,1.0,-99.99875998214374
Luxembourg,2020,3,-1.4567931899999993,2177.0,217600.0
Luxembourg,2020,4,-7.410043210999995,1606.0,-26.22875516766192
Luxembourg,2020,5,-7.410043210999994,234.0,-85.42963885429639
Luxembourg,2020,6,-7.410043210999995,281.0,20.085470085470085
Luxembourg,2020,7,9.843745489000007,2396.0,752.6690391459075
Luxembourg,2020,8,9.843745489000007,-70.0,-102.92153589315527
Luxembourg,2020,9,9.843745489000007,1884.0,-2791.4285714285716
Luxembourg,2020,10,,8625.0,357.80254777070064
Luxembourg,2020,11,,17544.0,103.40869565217392
Luxembourg,2020,12,,11737.0,-33.09963520291838
Mexico,2020,1,-1.2375134199999993,0.0,-100.0
Mexico,2020,2,-1.2375134199999993,4.0,inf
Mexico,2020,3,-1.2375134199999993,1211.0,30175.0
Mexico,2020,4,-16.95096494900001,18009.0,1387.118084227911
Mexico,2020,5,-16.95096494900001,71440.0,296.6905436170803
Mexico,2020,6,-16.95096494900001,135425.0,89.56466965285554
Mexico,2020,7,12.118183042,198548.0,46.61103932065719
Mexico,2020,8,12.118183042,174923.0,-11.89888591171908
Mexico,2020,9,12.118183042,143656.0,-17.874722020546184
Mexico,2020,10,,181746.0,26.514729631898422
Mexico,2020,11,,188581.0,3.7607430149769456
Mexico,2020,12,,312551.0,65.73832994840413
Netherlands,2020,2,-1.494445659,6.0,-99.97789322427325
Netherlands,2020,3,-1.494445659,12661.0,210916.66666666666
Netherlands,2020,4,-8.542121912,26845.0,112.02906563462602
Netherlands,2020,5,-8.542121912000002,7133.0,-73.42894393741851
Netherlands,2020,6,-8.542121912,3838.0,-46.193747371372496
Netherlands,2020,7,7.752326243999995,4107.0,7.008858780614903
Netherlands,2020,8,7.752326243999995,18642.0,353.90796201607014
Netherlands,2020,9,7.752326243999996,52756.0,182.99538676107713
Netherlands,2020,10,,231652.0,339.10076578967323
Netherlands,2020,11,,174290.0,-24.762143214822235
Netherlands,2020,12,,276452.0,58.61609960410809
New Zealand,2020,2,-1.192991449,1.0,-99.99963827355201
New Zealand,2020,3,-1.192991449,646.0,64500.0
New Zealand,2020,4,-11.037063284,832.0,28.792569659442723
New Zealand,2020,5,-11.037063284,25.0,-96.9951923076923
New Zealand,2020,6,-11.037063284,24.0,-4.0
New Zealand,2020,7,13.998773630000004,34.0,41.666666666666664
New Zealand,2020,8,13.998773630000004,190.0,458.8235294117647
New Zealand,2020,9,13.998773630000004,96.0,-49.473684210526315
New Zealand,2020,10,,111.0,15.625
New Zealand,2020,11,,100.0,-9.90990990990991
New Zealand,2020,12,,103.0,3.0
Norway,2020,2,-1.422991929,15.0,-99.93007319006107
Norway,2020,3,-1.422991928999999,4626.0,30740.0
Norway,2020,4,-4.599674659,3097.0,-33.05231301340251
Norway,2020,5,-4.599674658999999,702.0,-77.33290280917016
Norway,2020,6,-4.599674659,439.0,-37.464387464387464
Norway,2020,7,4.458578641000002,361.0,-17.767653758542142
Norway,2020,8,4.458578641000002,1542.0,327.1468144044321
Norway,2020,9,4.458578641000002,3245.0,110.44098573281453
Norway,2020,10,,6304.0,94.26810477657935
Norway,2020,11,,15819.0,150.93591370558374
Norway,2020,12,,13417.0,-15.18427207788103
Poland,2020,3,-0.26103647999999985,2311.0,-94.55389546118678
Poland,2020,4,-9.000662266999997,10566.0,357.204673301601
Poland,2020,5,-9.000662266999997,10909.0,3.2462615937914063
Poland,2020,6,-9.000662266999997,10607.0,-2.7683564029700247
Poland,2020,7,7.878236969,11295.0,6.486282643537287
Poland,2020,8,7.878236969,21684.0,91.97875166002656
Poland,2020,9,7.878236969,24142.0,11.335546947057738
Poland,2020,10,,271217.0,1023.4239085411316
Poland,2020,11,,628080.0,131.57840400859828
Poland,2020,12,,304067.0,-51.587855050312065
Portugal,2020,2,-3.956044532,0.0,-100.0
Portugal,2020,3,-3.9560445319999964,7443.0,inf
Portugal,2020,4,-13.915296647999993,17602.0,136.490662367325
Portugal,2020,5,-13.915296647999993,7455.0,-57.646858311555505
Portugal,2020,6,-13.915296647999993,9641.0,29.32260228034876
Portugal,2020,7,13.252193083000005,8931.0,-7.364381288248107
Portugal,2020,8,13.252193083000005,6940.0,-22.293136266935395
Portugal,2020,9,13.252193083000005,17530.0,152.5936599423631
Portugal,2020,10,,65737.0,274.9971477467199
Portugal,2020,11,,156782.0,138.4988666960768
Portugal,2020,12,,115617.0,-26.256202880432703
Romania,2020,2,0.170785544,3.0,-99.94001199760048
Romania,2020,3,0.1707855440000001,2242.0,74633.33333333333
Romania,2020,4,-12.15886766,9995.0,345.80731489741305
Romania,2020,5,-12.15886766,7017.0,-29.794897448724363
Romania,2020,6,-12.15886766,7713.0,9.918768704574605
Romania,2020,7,6.057459147000002,23916.0,210.07390120575653
Romania,2020,8,6.057459147000002,36654.0,53.26141495233317
Romania,2020,9,6.057459147000002,40032.0,9.21591095105582
Romania,2020,10,,113767.0,184.19014788169466
Romania,2020,11,,234023.0,105.70376295410796
Romania,2020,12,,156901.0,-32.9548805031984
Russia,2020,1,-0.879546459,2.0,-99.99872531086481
Russia,2020,2,-0.8795464590000001,0.0,-100.0
Russia,2020,3,-0.8795464590000001,2335.0,inf
Russia,2020,4,-3.237636448000002,104161.0,4360.85653104925
Russia,2020,5,-3.237636448000002,299345.0,187.3868338437611
Russia,2020,6,-3.237636448000002,241086.0,-19.46215904725317
Russia,2020,7,1.5021019429999998,191532.0,-20.55449092854832
Russia,2020,8,1.5021019429999998,153941.0,-19.626485391475054
Russia,2020,9,1.5021019429999998,178397.0,15.886605907458051
Russia,2020,10,,435468.0,144.10051738538203
Russia,2020,11,,669669.0,53.78144892391634
Russia,2020,12,,851411.0,27.139079157016376
Saudi Arabia,2020,3,-1.318603323,1563.0,6695.652173913043
Saudi Arabia,2020,4,-5.2152775049999995,21190.0,1255.7261676263595
Saudi Arabia,2020,5,-5.215277504999999,62508.0,194.988201982067
Saudi Arabia,2020,6,-5.2152775049999995,105562.0,68.87758366929033
Saudi Arabia,2020,7,1.7921051180000005,85082.0,-19.40092078588886
Saudi Arabia,2020,8,1.7921051180000005,39867.0,-53.142850426647236
Saudi Arabia,2020,9,1.7921051180000005,18833.0,-52.7604284245115
Saudi Arabia,2020,10,,12677.0,-32.68730420007434
Saudi Arabia,2020,11,,10078.0,-20.50169598485446
Saudi Arabia,2020,12,,5381.0,-46.60646953760667
Slovakia,2020,3,-5.077927914,363.0,-4.724409448818897
Slovakia,2020,4,-8.300909507,1033.0,184.57300275482095
Slovakia,2020,5,-8.300909506999998,125.0,-87.89932236205227
Slovakia,2020,6,-8.300909507,146.0,16.8
Slovakia,2020,7,11.641680353000009,625.0,328.0821917808219
Slovakia,2020,8,11.641680353000009,1625.0,160.0
Slovakia,2020,9,11.641680353000007,6224.0,283.0153846153846
Slovakia,2020,10,,47523.0,663.5443444730078
Slovakia,2020,11,,48265.0,1.5613492414199441
Slovakia,2020,12,,73614.0,52.520459960634
Slovenia,2020,2,-4.660072286000001,0.0,-100.0
Slovenia,2020,3,-4.660072286000001,802.0,inf
Slovenia,2020,4,-9.788389611000007,627.0,-21.820448877805486
Slovenia,2020,5,-9.788389611000007,44.0,-92.98245614035088
Slovenia,2020,6,-9.788389611000007,127.0,188.63636363636363
Slovenia,2020,7,12.405556547999995,556.0,337.79527559055117
Slovenia,2020,8,12.405556547999995,727.0,30.755395683453237
Slovenia,2020,9,12.405556547999995,2807.0,286.1072902338377
Slovenia,2020,10,,28617.0,919.48699679373
Slovenia,2020,11,,41507.0,45.04315616591536
Slovenia,2020,12,,46338.0,11.639000650492688
South Africa,2020,2,-0.4225482710000001,0.0,-100.0
South Africa,2020,3,-0.4225482710000001,1353.0,inf
South Africa,2020,4,-16.641962996000007,4294.0,217.3688100517369
South Africa,2020,5,-16.641962996000004,27036.0,529.6227293898463
South Africa,2020,6,-16.641962996000007,118526.0,338.40065098387333
South Africa,2020,7,13.530993656000005,341974.0,188.52234952668613
South Africa,2020,8,13.530993656000005,133858.0,-60.85725815412868
South Africa,2020,9,13.530993656000003,47298.0,-64.66554109578807
South Africa,2020,10,,51113.0,8.065880164066133
South Africa,2020,11,,64552.0,26.292723964549136
South Africa,2020,12,,267157.0,313.8632420374272
South Korea,2020,1,-1.281701518,10.0,-99.99951547641024
South Korea,2020,2,-1.281701517999999,3139.0,31290.0
South Korea,2020,3,-1.281701517999999,6636.0,111.40490602102581
South Korea,2020,4,-3.153851888000001,988.0,-85.11151295961423
South Korea,2020,5,-3.1538518880000015,729.0,-26.214574898785425
South Korea,2020,6,-3.153851888000001,1347.0,84.77366255144032
South Korea,2020,7,2.1361448770000004,1486.0,10.319227913882703
South Korea,2020,8,2.1361448770000004,5846.0,293.40511440107673
South Korea,2020,9,2.136144877,3707.0,-36.58912076633596
South Korea,2020,10,,2746.0,-25.923927704343136
South Korea,2020,11,,8017.0,191.95193008011654
South Korea,2020,12,,27117.0,238.24373206935263
Spain,2020,2,-5.250324772999999,45.0,-89.97772828507794
Spain,2020,3,-5.250324772999998,95878.0,212962.22222222222
Spain,2020,4,-17.878839014999997,117512.0,22.564091866747326
Spain,2020,5,-17.878839015,26044.0,-77.83715705630064
Spain,2020,6,-17.878839014999997,9792.0,-62.40208877284595
Spain,2020,7,16.41237713599999,39251.0,300.84763071895424
Spain,2020,8,16.41237713599999,174336.0,344.15683676849
Spain,2020,9,16.41237713599999,306330.0,75.71241740088105
Spain,2020,10,,416490.0,35.96121829399667
Spain,2020,11,,462509.0,11.049244879829047
Spain,2020,12,,280078.0,-39.44377298603919
Sweden,2020,2,0.33224172399999996,14.0,-98.44097995545657
Sweden,2020,3,0.3322417239999999,4820.0,34328.57142857143
Sweden,2020,4,-7.950005454000005,16767.0,247.86307053941908
Sweden,2020,5,-7.950005454000005,17060.0,1.7474801693803304
Sweden,2020,6,-7.950005454000005,29263.0,71.52989449003518
Sweden,2020,7,4.930314681,9152.0,-68.72501110617503
Sweden,2020,8,4.930314681,7303.0,-20.203234265734267
Sweden,2020,9,4.930314681,8484.0,16.171436396001642
Sweden,2020,10,,31492.0,271.1928335690712
Sweden,2020,11,,118774.0,277.15610313730474
Sweden,2020,12,,194250.0,63.545893882499534
Switzerland,2020,1,-1.731200029,0.0,-100.0
Switzerland,2020,2,-1.731200029,18.0,inf
Switzerland,2020,3,-1.731200029,16587.0,92050.0
Switzerland,2020,4,-7.028700796000003,12981.0,-21.739916802315065
