location,year,month,gdp_percentage_change,monthly_new_cases,percentage_growth_rate_cases
Argentina,2020,1,-4.110561547999996,0.0,-100.0
Argentina,2020,2,-4.110561547999996,0.0,
Argentina,2020,3,-4.110561547999996,1054.0,inf
Argentina,2020,4,-16.007677409,3374.0,220.11385199240988
Argentina,2020,5,-16.007677409,12423.0,268.1979845880261
Argentina,2020,6,-16.007677409,47679.0,283.7961844964984
Argentina,2020,7,12.761204089999994,126772.0,165.8864489607584
Argentina,2020,8,12.761204089999994,226433.0,78.61436279304579
Argentina,2020,9,12.761204089999996,333266.0,47.180843781604274
Argentina,2020,10,,415923.0,24.802110026225296
Argentina,2020,11,,257609.0,-38.06329536957562
Argentina,2020,12,,200981.0,-21.98215124471583
Australia,2020,1,-0.279320053,9.0,-99.99970784191261
Australia,2020,2,-0.27932005300000007,16.0,77.77777777777777
Australia,2020,3,-0.279320053,4534.0,28237.5
Australia,2020,4,-7.027382636,2207.0,-51.323334803705336
Australia,2020,5,-7.027382636,436.0,-80.24467603081105
Australia,2020,6,-7.027382636,718.0,64.6788990825688
Australia,2020,7,3.3281239829999985,9360.0,1203.6211699164346
Australia,2020,8,3.3281239829999985,8539.0,-8.771367521367521
Australia,2020,9,3.3281239829999985,1277.0,-85.0450872467502
Australia,2020,10,,499.0,-60.924040720438526
Australia,2020,11,,317.0,-36.47294589178357
Australia,2020,12,,513.0,61.829652996845425
Austria,2020,2,-2.766996758,9.0,-98.24561403508773
Austria,2020,3,-2.7669967580000008,10171.0,112911.11111111111
Austria,2020,4,-11.567636938000001,5272.0,-48.16635532396028
Austria,2020,5,-11.567636938000003,1279.0,-75.73975720789075
Austria,2020,6,-11.567636938000001,1035.0,-19.077404222048475
Austria,2020,7,11.964896166000003,3364.0,225.024154589372
Austria,2020,8,11.964896166000003,6308.0,87.51486325802615
Austria,2020,9,11.964896166,17375.0,175.4438807863031
Austria,2020,10,,60112.0,245.968345323741
Austria,2020,11,,177531.0,195.3337104072398
Austria,2020,12,,78359.0,-55.86179315161859
Belgium,2020,2,-3.416970477000002,1.0,-99.99826500338324
Belgium,2020,3,-3.4169704770000027,12774.0,1277300.0
Belgium,2020,4,-11.817223002999999,35744.0,179.81838108658212
Belgium,2020,5,-11.817223002999997,9862.0,-72.40935541629365
Belgium,2020,6,-11.817223002999999,3046.0,-69.11377002636382
Belgium,2020,7,11.640350416999997,7324.0,140.44648719632303
Belgium,2020,8,11.640350416999997,16485.0,125.08192244675041
Belgium,2020,9,11.640350416999999,33216.0,101.49226569608736
Belgium,2020,10,,310777.0,835.6243978805395
Belgium,2020,11,,148116.0,-52.340102388529395
Belgium,2020,12,,69151.0,-53.31294390882822
Brazil,2020,2,-1.545879168,2.0,-99.95077528919518
Brazil,2020,3,-1.5458791679999992,5715.0,285650.0
Brazil,2020,4,-9.599817806,81470.0,1325.546806649169
Brazil,2020,5,-9.599817805999999,427662.0,424.9318767644532
Brazil,2020,6,-9.599817806,887192.0,107.45167912978006
Brazil,2020,7,7.707789052000003,1260444.0,42.071163851793074
Brazil,2020,8,7.707789052000003,1245787.0,-1.1628442041058549
Brazil,2020,9,7.707789052000003,902663.0,-27.5427500848861
Brazil,2020,10,,724670.0,-19.71865469172881
Brazil,2020,11,,800273.0,10.432748699408007
