GENESIS-Tabelle: 61411-0010
Index of import prices: Germany, months, euro-countries and;;;;
non-euro countries;;;;
Index of import prices;;;;
Germany;;;;
Index of import prices (2015=100);;;;
;;Euro countries;Non-euro countries;Total
2019;January;103.8;101.3;102.2
2019;February;104.0;101.6;102.5
2019;March;103.7;101.8;102.5
2019;April;104.0;102.0;102.8
2019;May;103.8;102.1;102.7
2019;June;102.6;100.6;101.3
2019;July;102.1;100.5;101.1
2019;August;101.6;99.8;100.5
2019;September;102.0;100.6;101.1
2019;October;101.9;100.5;101.0
2019;November;102.4;100.9;101.5
2019;December;102.6;101.1;101.7
2020;January;102.6;100.5;101.3
2020;February;101.5;99.7;100.4
2020;March;99.1;95.6;96.9
2020;April;97.4;93.9;95.2
2020;May;97.1;94.5;95.5
2020;June;97.6;95.2;96.1
2020;July;97.6;95.8;96.4
2020;August;97.9;95.8;96.5
2020;September;98.3;95.9;96.8
2020;October;98.5;96.4;97.1
2020;November;98.9;96.8;97.6
2020;December;...;...;...
__________
© Federal Statistical Office, Wiesbaden 2020
created: 2021-01-28 / 02:01:39
